ward,alder,twitter,committee_on_ped_safety
1,Daniel La Spata,@AldermanLaSpata,Committee for Pedestrian Safety
2,Brian Hopkins,@AldermanHopkins  ,Committee for Pedestrian Safety
3,Pat Dowell,@AldPatDowell3rd ,
4,Sophia King,@aldsophiaking / @King4thWard,Committee for Pedestrian Safety
5,Leslie A. Hairston,@5thWardChicago ,
6,Roderick T. Sawyer,@6thWardChicago ,
7,Gregory I. Mitchell,@AldGregMitchell ,
8,Michelle A. Harris,@AldermanHarris ,
9,Anthony A. Beale,@Alderman_Beale ,Committee for Pedestrian Safety
10,Susan Sadlowski Garza,@SSadlowskiGarza ,
11,Nicole Lee,@ald_nicolelee,
12,George Cardenas,@aldcardenas / @aldcardenasnews,Committee for Pedestrian Safety
13,Marty Quinn,,Committee for Pedestrian Safety
14,Edward M. Burke,,Committee for Pedestrian Safety
15,Raymond A. Lopez,@RLopez15thWard,
16,Stephanie D. Coleman,@aldscoleman16,Committee for Pedestrian Safety
17,David H. Moore,@c4m17ward,Committee for Pedestrian Safety
18,Derrick G. Curtis,@aldcurtis18 ,
19,Matthew J. O'Shea,@mattoshea19,
20,Jeanette Taylor,@taylorfor20th,
21,"Howard B. Brookins, Jr.",@ald_brookins21,
22,Michael D. Rodriguez,@rodriguezfor22,
23,Silvana Tabares,@aldermantabares,
24,"Michael Scott, Jr.",@aldermanscott24,
25,Byron Sigcho-Lopez,@SigchoFor25,
26,Roberto Maldonado,@MaldonadoR26 ,Committee for Pedestrian Safety
27,"Walter Burnett, Jr.",@AldermanBurnett,Committee for Pedestrian Safety
28,Jason C. Ervin,@AldermanErvin ,
29,Chris Taliaferro,@chris29thward ,
30,Ariel E. Reyboras,@Ald_Reboyras,
31,"Felix Cardona, Jr",@AldermanCardona,Committee for Pedestrian Safety
32,Scott Waguespack,@ward32chicago ,
33,Rossana Rodriguez Sanchez,@RossanaFor33 / @Ward33Chicago,Committee for Pedestrian Safety
34,Carrie M. Austin,,
35,Carlos Ramirez-Rosa,@CDRosa / @35th_ward,
36,Gilbert Villegas,@Ald_Villegas ,
37,Emma M. Mitts,@EmmaMittsAld37 ,
38,Nicholas Sposato,,
39,Samantha Nugent,,
40,Andre Vasquez,@Andrefor40th,
41,Anthony V. Napolitano,@aldnapolitano41,
42,Brendan Reilly,@AldReilly,
43,Michelle Smith,@AldermanSmith43,
44,Tom Tunney,@AldTomTunney ,
45,James Gardiner,@JimGardiner45th,
46,James Cappleman,@JamesCappleman ,
47,Matt Martin,@AldMattMartin,
48,Harry Osterman,@48Ward,
49,Maria Hadden,@Mariafor49,
50,Debra L. Silverstein,@50thWardChicago,
